Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Perubahan%;No
01/12/24;16.090,0;15.870,0;16.322,5;15.830,0;1,58%;120
01/11/24;15.840,0;15.705,0;15.971,5;15.617,5;0,96%;119
01/10/24;15.690,0;15.175,0;15.778,5;15.167,5;3,67%;118
01/09/24;15.135,0;15.497,5;15.583,5;15.065,0;-2,04%;117
01/08/24;15.450,0;16.255,0;16.281,5;15.295,0;-4,95%;116
01/07/24;16.255,0;16.352,5;16.427,5;16.096,0;-0,70%;115
01/06/24;16.370,0;16.255,0;16.482,5;16.190,0;0,77%;114
01/05/24;16.245,0;16.250,0;16.275,0;15.912,5;-0,06%;113
01/04/24;16.255,0;15.875,0;16.290,0;15.842,5;2,56%;112
01/03/24;15.850,0;15.722,5;15.894,0;15.557,5;0,89%;111
01/02/24;15.710,0;15.787,5;15.802,5;15.547,5;-0,41%;110
01/01/24;15.775,0;15.430,0;15.847,5;15.430,0;2,47%;109
01/12/23;15.395,0;15.520,0;15.677,5;15.380,0;-0,71%;108
01/11/23;15.505,0;15.925,0;15.953,5;15.357,5;-2,36%;107
01/10/23;15.880,0;15.492,5;15.967,5;15.492,5;2,78%;106
01/09/23;15.450,0;15.227,5;15.542,5;15.215,0;1,48%;105
01/08/23;15.225,0;15.112,5;15.359,5;15.018,5;1,00%;104
01/07/23;15.075,0;15.005,0;15.222,0;14.913,0;0,57%;103
01/06/23;14.990,0;14.895,0;15.052,5;14.819,5;0,03%;102
01/05/23;14.985,0;14.645,0;15.018,5;14.565,0;2,18%;101
01/04/23;14.665,0;15.000,0;15.012,5;14.627,5;-2,17%;100
01/03/23;14.990,0;15.240,0;15.480,0;14.950,0;-1,67%;99
01/02/23;15.245,0;15.000,0;15.312,5;14.835,0;1,74%;98
01/01/23;14.985,0;15.490,0;15.643,0;14.884,0;-3,73%;97
01/12/22;15.565,0;15.622,5;15.765,0;15.365,0;-1,05%;96
01/11/22;15.730,0;15.630,0;15.761,5;15.392,5;0,87%;95
01/10/22;15.595,0;15.245,0;15.651,5;15.156,5;2,43%;94
01/09/22;15.225,0;14.865,0;15.280,0;14.815,0;2,59%;93
01/08/22;14.840,0;14.850,0;14.992,5;14.659,0;0,07%;92
01/07/22;14.830,0;14.925,0;15.040,0;14.830,0;-0,44%;91
01/06/22;14.895,0;14.572,5;14.897,5;14.420,0;2,16%;90
01/05/22;14.580,0;14.510,0;14.738,0;14.502,5;0,59%;89
01/04/22;14.495,0;14.360,0;14.502,5;14.328,0;0,88%;88
01/03/22;14.368,0;14.355,0;14.420,0;14.255,0;0,02%;87
01/02/22;14.365,0;14.315,0;14.409,0;14.246,5;-0,10%;86
01/01/22;14.380,0;14.255,0;14.412,5;14.249,0;0,91%;85
01/12/21;14.250,0;14.344,0;14.449,0;14.180,0;-0,49%;84
01/11/21;14.320,0;14.185,0;14.392,5;14.182,5;1,09%;83
